"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2007-01-31","53954,68","53913,54","54558,15","54558,15","+1,56"
"2007-01-30","53813,79","53339,03","53856,58","53717,9","-0,14"
"2007-01-29","53717,55","53633,95","53954,12","53792,04","+0,57"
"2007-01-26","52996,26","52713,49","53617,9","53487,96","+0,1"
"2007-01-25","53910,33","53358,02","54364,04","53433,5","-0,46"
"2007-01-24","54055,67","53670,83","54223,95","53681,53","+0,05"
"2007-01-23","53532,04","53064,26","53679,62","53652,21","+0,15"
"2007-01-22","54456,2","53574","54804,44","53574","-0,88"
"2007-01-19","53662,27","53578,91","54121,05","54048,19","+0,36"
"2007-01-18","52918,81","52918,81","54132,28","53853,2","+2,85"
"2007-01-17","52240,88","52032,28","52433,88","52362,24","+0,32"
"2007-01-16","51941,37","51736,02","52322,15","52195,63","-0,01"
"2007-01-15","51261,29","51261,29","52198,67","52198,67","+2,31"
"2007-01-12","50539,12","50534,15","51075,84","51020,94","+1,06"
"2007-01-11","49854,01","49822,15","50484,05","50484,05","+2,48"
"2007-01-10","49545,9","49195,94","49864,45","49264,41","-1,01"
"2007-01-09","49818,47","49618,33","50120,02","49769,49","+0,52"
"2007-01-08","49151,59","48814,75","49678,91","49512,92","-0,1"
"2007-01-05","50101,04","49459,91","50254,76","49560,26","-1,63"
"2007-01-04","50594,38","50194,64","50594,38","50381,11","-1,64"
"2007-01-03","51163,73","51023,62","51359,03","51220,11","+0,03"
"Liczba wierszy ograniczona do 50"
