"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2007-04-23","60713,84","60157,6","60844,68","60311,28","-0,01"
"2007-04-20","59728,94","59723,42","60361,05","60316,69","+1,77"
"2007-04-19","59031,44","58751,28","59424,1","59268,34","-0,69"
"2007-04-18","59668,38","59355,79","60278,03","59682,03","+0,55"
"2007-04-17","59282,7","58950,56","59353,91","59353,79","-0,12"
"2007-04-16","59570,57","59223,19","59711,44","59424,56","+1,02"
"2007-04-13","58851,64","58798,46","59089,88","58822,47","+0,9"
"2007-04-12","59030,39","58074,17","59253,21","58298,23","-1,53"
"2007-04-11","58688,76","58644,35","59434,41","59206,43","+0,47"
"2007-04-10","58352,95","58317,05","58928,03","58928,03","+1,28"
"2007-04-05","58081,66","57792","58183,82","58183,82","+0,35"
"2007-04-04","57952,36","57780,33","58269,61","57981,75","+0,66"
"2007-04-03","57229,53","57045,07","57604,37","57604,37","+1,39"
"Liczba wierszy ograniczona do 50"
