"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2003-09-30","19535,14","19330,49","19644,26","19330,49","-2,23"
"2003-09-29","20079,24","19757,29","20079,24","19771,96","-1,15"
"2003-09-26","19877,46","19836,42","20052,7","20002,37","+0,99"
"2003-09-25","19636,45","19608,97","19826,24","19805,49","-0,1"
"2003-09-24","19882,17","19762,47","20034,38","19824,82","+0,21"
"2003-09-23","19630,23","19488,89","19810,3","19783,39","+0,4"
"2003-09-22","20139,19","19650,82","20139,19","19704,26","-2,75"
"2003-09-19","20275,03","20092,92","20362,17","20261,1","+0,3"
"2003-09-18","20137,45","20064,55","20214,11","20200,89","-0,11"
"2003-09-17","20595,32","20183,63","20676,64","20223,61","-0,28"
"2003-09-16","19870,35","19813,55","20279,94","20279,94","+2,3"
"2003-09-15","19923,49","19768,38","20004,79","19824,11","-0,29"
"2003-09-12","20346,69","19881,39","20346,69","19881,39","-1,36"
"2003-09-11","19744,74","19744,74","20207,04","20156,2","+0,86"
"2003-09-10","20282,93","19873,17","20343,79","19983,97","-2,17"
"2003-09-09","20864,59","20389,36","20864,59","20426,4","-1,54"
"2003-09-08","20730,39","20322,27","20805,99","20744,88","+0,15"
"2003-09-05","20992,17","20650,86","21164,85","20713,37","-2,25"
"2003-09-04","21345,42","21139,75","21485,33","21189,13","-2,17"
"2003-09-03","21840,61","21577,34","21993,29","21659,87","-1,19"
"2003-09-02","22243,8","21742,69","22310,83","21921,79","-0,51"
"Liczba wierszy ograniczona do 50"
