"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2003-05-30","0","15111,37","15304,37","15304,37","+0,99"
"2003-05-29","15050,38","15048,52","15176,14","15153,67","+0,56"
"2003-05-28","15003,25","14978,53","15097,65","15068,72","+0,88"
"2003-05-27","15041,89","14897,46","15062,38","14937,2","-1,08"
"2003-05-26","15025,39","15025,39","15131,83","15099,64","+0,39"
"2003-05-23","14965,87","14929,19","15053,67","15040,45","+0,55"
"2003-05-22","14880,96","14872,12","15055,8","14958,73","+0,45"
"2003-05-21","14747,19","14731,35","14892,63","14891,71","+0,9"
"2003-05-20","14770,36","14747,28","14876,86","14758,79","-0,29"
"2003-05-19","14831,89","14699,19","14832,05","14801,21","-0,62"
"2003-05-16","14905,93","14858,67","14941,97","14892,82","-0,35"
"2003-05-15","14986,23","14829,12","15050,09","14945,41","-0,45"
"2003-05-14","14653,88","14626,79","15026,23","15012,24","+2,19"
"2003-05-13","14677,84","14611,68","14733,86","14690,91","-0,21"
"2003-05-12","14687,49","14575,13","14722,16","14722,16","+0,32"
"2003-05-09","14567,4","14550,08","14675,9","14675,9","+0,88"
"2003-05-08","14513,05","14501,32","14581,83","14547,51","+0,3"
"2003-05-07","14586,92","14462,16","14593,55","14503,65","-1,02"
"2003-05-06","14569,18","14528,51","14673,86","14652,61","+0,3"
"2003-05-05","14496,56","14496,56","14627,08","14608,92","+1,3"
"2003-05-02","14256,91","14228,14","14421,63","14421,63","+1,14"
"Liczba wierszy ograniczona do 50"
