"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2003-08-29","21007,07","21007,07","21339,72","21336,29","+2,29"
"2003-08-28","20882,8","20701,05","21042,79","20858,78","-0,65"
"2003-08-27","21326,1","20854,66","21498,82","20996,25","-0,3"
"2003-08-26","20700,12","20700,12","21271,08","21059,4","+2,12"
"2003-08-25","20467,7","20313,22","20789,22","20622,01","+0,03"
"2003-08-22","20118,09","20118,09","20899,36","20615,62","+2,95"
"2003-08-21","19593,05","19593,05","20024,02","20024,02","+2,4"
"2003-08-20","19549,43","19494,73","19659,41","19554,47","-0,24"
"2003-08-19","19612,29","19441,37","19657,68","19602,26","-0,06"
"2003-08-18","19526,85","19330,38","19613,34","19613,34","+1,16"
"2003-08-14","18969,59","18961,64","19448,73","19388,03","+2,26"
"2003-08-13","19120,68","18890,41","19220,47","18958,84","-0,22"
"2003-08-12","18741,13","18693,6","19014,4","18999,96","+2,15"
"2003-08-11","18440,82","18414,59","18619,45","18600,68","+1,24"
"2003-08-08","18540,63","18359,18","18674,91","18372,55","-0,25"
"2003-08-07","17856,5","17809,92","18426,13","18417,7","+3,02"
"2003-08-06","17829,07","17816,43","17917,94","17877,71","-0,31"
"2003-08-05","17831,44","17789,85","17950,71","17932,76","+0,62"
"2003-08-04","17912,57","17822,73","18019,41","17822,73","-0,87"
"2003-08-01","17971,72","17912","18048,25","17978,89","-0,14"
"Liczba wierszy ograniczona do 50"
