"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2003-01-31","13700,37","13700,37","13861,32","13844,75","+0,44"
"2003-01-30","13942,51","13766,47","13984,93","13783,66","-1,01"
"2003-01-29","13710,91","13623,65","13943,75","13923,86","+0,27"
"2003-01-28","13808,75","13784,62","13917,9","13886,61","+0,14"
"2003-01-27","13929,92","13738,05","13960,33","13867,32","-1,89"
"2003-01-24","14454,09","14130,37","14525,57","14133,8","-2,21"
"2003-01-23","14361,72","14312,05","14528,79","14453,54","+1,07"
"2003-01-22","14380,83","14237,45","14417,15","14301,16","-1,11"
"2003-01-21","14612,64","14369,46","14653,99","14461,75","-0,91"
"2003-01-20","14569,19","14540,99","14631,88","14594,74","-0,29"
"2003-01-17","14647,29","14578,89","14711,34","14637,51","-1,28"
"2003-01-16","14945,36","14790,57","14968,77","14827,53","-1,56"
"2003-01-15","15008,91","15008,91","15111,73","15061,77","+0,15"
"2003-01-14","15077,72","14980","15168,02","15039,44","-0,5"
"2003-01-13","14861,9","14861,9","15145,83","15115,13","+2,23"
"2003-01-10","14751,19","14684,05","14864,38","14785,91","+0,34"
"2003-01-09","14716,65","14569,26","14739,94","14735,78","-0,02"
"2003-01-08","14787,35","14738,01","14917,57","14738,01","-0,92"
"2003-01-07","14821,32","14759,16","14910,89","14875,42","+0,41"
"2003-01-06","14832,28","14689,33","14895,43","14814,32","+0,3"
"2003-01-03","14582,94","14564,39","14794,97","14770,53","+2,73"
"2003-01-02","14343,62","14210,16","14378,11","14378,11","+0,08"
"Liczba wierszy ograniczona do 50"
