"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2003-06-30","15860,13","15849,89","1598,75","1598,75","-89,96"
"2003-06-27","15972,67","15853,66","15978,56","15930,57","-0,32"
"2003-06-26","15901,97","15901,33","1598,99","15982,37","+902,8"
"2003-06-25","15733,55","15729,84","1593,78","1593,78","-89,87"
"2003-06-24","157,09","15678,71","15760,09","15730,15","-0,72"
"2003-06-23","15843,75","1582,61","15907,37","15843,78","-0,42"
"2003-06-20","15850,11","15850,11","15989,32","15910,38","+0,33"
"2003-06-18","15699,24","15699,24","15970,86","15858,46","+0,96"
"2003-06-17","15619,15","15619,15","15756,26","15707,64","+0,86"
"2003-06-16","15470,17","15409,41","15573,27","15573,27","+0,08"
"2003-06-13","155,59","15539,12","15618,27","15560,74","-0,14"
"2003-06-12","15480,01","15480,01","15626,57","15582,97","+0,94"
"2003-06-11","15371,14","15333,88","15437,84","15437,84","+0,35"
"2003-06-10","15455,78","15373,18","15475,12","15384,13","-0,6"
"2003-06-09","15569,69","15435,69","15601,86","15477,49","-0,78"
"2003-06-06","0","15467,23","15607,52","15598,45","+0,9"
"2003-06-05","0","15429,86","15562,32","15460,01","-0,08"
"2003-06-04","0","15325,92","15505,03","15472,31","+0,99"
"2003-06-03","0","15233,58","15320,65","15320,65","+0,46"
"Liczba wierszy ograniczona do 50"
