"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2004-09-30","25186,02","25172,39","25326,88","25267,83","+0,31"
"2004-09-29","25165,71","25056,17","25239,65","25190,32","+0,25"
"2004-09-28","24892,34","24879,74","25145,02","25128,67","+0,69"
"2004-09-27","24772,98","24730,62","24985,37","24955,99","+0,35"
"2004-09-24","25023,79","24833,82","25118,42","24869,27","-0,83"
"2004-09-23","25058,73","24961,31","25089,85","25078,12","-0,48"
"2004-09-22","25202,17","25061,63","25216,76","25199,8","-0,29"
"2004-09-21","25315,85","25143,57","25412,69","25272,68","+0,13"
"2004-09-20","25268,66","25147,62","25366,15","25238,82","-0,29"
"2004-09-17","25198,83","25174,96","25499,97","25312,54","+0,5"
"2004-09-16","25233,55","25125,43","25264,18","25185,9","+0,01"
"2004-09-15","24935,42","24852,44","25184,67","25182,21","+0,41"
"2004-09-14","25077,94","24933,17","25169,97","25078,73","-0,06"
"2004-09-13","24937,12","24922,57","25173","25094,96","+0,62"
"2004-09-10","24869,1","24869,1","25058,85","24939,36","+0,44"
"2004-09-09","24821,44","24726,36","24852,46","24829,52","-0,5"
"2004-09-08","24805,93","24775,23","25003,74","24953,9","+0,46"
"2004-09-07","24555,05","24543,82","24843,33","24838,55","+1,23"
"2004-09-06","24428,25","24390,96","24537,05","24537,05","+0,51"
"2004-09-03","24418,21","24352,05","24504,77","24412,73","+0,2"
"2004-09-02","24311,55","24245,09","24486,88","24364,44","+0,24"
"2004-09-01","24241,74","24106,33","24400,83","24306,21","+0,28"
"Liczba wierszy ograniczona do 50"
