"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2004-07-30","23659,67","23527,25","23679,91","23632,26","+0,02"
"2004-07-29","23642,87","23496,89","23642,87","23628,41","+0,19"
"2004-07-28","23860,43","23528,97","23860,43","23584,33","-0,94"
"2004-07-27","23923,3","23709,29","23933,45","23809,3","-0,43"
"2004-07-26","23899,29","23843,49","23991,97","23913,25","+0,14"
"2004-07-23","23858,57","23809,09","23966,39","23879,13","+0,28"
"2004-07-22","23913,3","23745,94","23943,96","23813,55","-0,75"
"2004-07-21","23864,66","23864,27","24037,31","23994,65","+1,2"
"2004-07-20","23564,37","23561,92","23724,32","23710,7","+0,42"
"2004-07-19","23535,47","23480,99","23682,34","23611,95","+0,44"
"2004-07-16","23258,03","23050,88","23508,21","23508,21","+1,38"
"2004-07-15","23391,15","23185,31","23497,9","23188,88","-0,75"
"2004-07-14","23433,48","23317,64","23445,12","23364,64","-0,69"
"2004-07-13","23762,1","23434,82","23796,61","23526,43","-0,92"
"2004-07-12","23885,07","23705,44","23920,1","23744,85","-0,43"
"2004-07-09","23843,51","23740,57","23895,75","23847,56","-0,06"
"2004-07-08","23741,55","23681,3","23861,8","23861,8","+0,4"
"2004-07-07","23637,76","23637,76","23766,63","23766,63","+0,56"
"2004-07-06","23672,31","23606,02","23766,67","23635,11","-0,57"
"2004-07-05","23667,49","23623,77","23785,21","23770,62","+0,06"
"2004-07-02","23804,22","23602,22","23804,22","23757,22","-0,58"
"2004-07-01","23910,02","23822,56","23928,12","23895,98","-0,22"
"Liczba wierszy ograniczona do 50"
