"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2004-11-30","25268,86","25208,4","25424,73","25424,73","+0,47"
"2004-11-29","25294,35","25245,29","25393,05","25305,15","+0,15"
"2004-11-26","25215,55","25072,63","25268,42","25268,42","+0,46"
"2004-11-25","24838,71","24790,81","25153,18","25153,18","+1,21"
"2004-11-24","24844,82","24635,96","24871","24852,84","-0,14"
"2004-11-23","25129,22","24866,25","25191,82","24887,11","-0,98"
"2004-11-22","25163,92","25000,65","25188,62","25133,17","-0,7"
"2004-11-19","25393,04","25283,76","25443,13","25309,54","-0,09"
"2004-11-18","25338,37","25192,47","25396,47","25332,93","+0,22"
"2004-11-17","25241,32","25181,88","25452,49","25277,89","+0,29"
"2004-11-16","25276,42","25024,04","25301,51","25205,62","-0,42"
"2004-11-15","25732,19","25289,91","25745,52","25312,73","-1,21"
"2004-11-12","25734,06","25539,79","25900,79","25623,95","+0,4"
"2004-11-10","25568,31","25421,07","25626,63","25521,35","-0,13"
"2004-11-09","25197,27","25058,29","25554,52","25554,52","+1,56"
"2004-11-08","25465,11","25088,13","25477,25","25160,94","-0,66"
"2004-11-05","25424,96","25212,41","25511,51","25327,69","-0,69"
"2004-11-04","25534,25","25366,63","25739,56","25503,64","-0,27"
"2004-11-03","25853,01","25521,07","25886,71","25572,8","-0,81"
"Liczba wierszy ograniczona do 50"
