"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2004-10-29","25037,74","25037,74","25448,82","25419,31","+1,73"
"2004-10-28","25168,82","24855,85","25246,89","24986,95","+0,15"
"2004-10-27","24811,8","24754,53","24967,09","24949,49","+0,51"
"2004-10-26","24785,52","24686,77","24849,85","24821,66","+0,35"
"2004-10-25","24751,27","24639,53","24777,3","24736,12","-1,14"
"2004-10-22","24915,87","24868,38","25111,38","25020,16","+0,15"
"2004-10-21","24883,06","24793,32","24982,73","24982,73","+0,22"
"2004-10-20","24939,92","24774,28","24979,36","24927,32","-0,49"
"2004-10-19","24783,2","24768,28","25056,91","25050,85","+1,4"
"2004-10-18","24844,86","24586,12","24879,29","24706,01","-0,67"
"2004-10-15","24734,52","24710,92","24906,03","24871,48","+0,55"
"2004-10-14","24707,06","24647,95","24921,49","24736,48","-0,85"
"2004-10-13","24963","24809,9","25065,46","24949,06","-0"
"2004-10-12","25392,12","24914,26","25428,49","24949,89","-2,12"
"2004-10-11","25341,77","25256,83","25499,56","25489,32","+0,15"
"2004-10-08","25579,61","25367,79","25670,18","25451","-1,06"
"2004-10-07","25852,01","25538,54","25852,01","25723,74","-0,15"
"2004-10-06","25715,74","25504,49","25773,36","25763,58","+0,11"
"2004-10-05","25701,03","25670,53","25866,93","25735,85","+0,45"
"2004-10-04","25483,42","25418,33","25659,46","25619,42","+1,44"
"2004-10-01","25182,96","25056,94","25283,27","25254,9","-0,05"
"Liczba wierszy ograniczona do 50"
