"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2004-12-31","26606,38","26573,4","26691,68","26636,19","+0,22"
"2004-12-30","26470,71","26466,27","26587,22","26576,86","+0,4"
"2004-12-29","26074,3","26041,44","26470,99","26470,99","+1,57"
"2004-12-28","26197,25","25965,98","26197,25","26060,85","-0,54"
"2004-12-27","26140,43","26041,71","26203,01","26203,01","+0,19"
"2004-12-24","26044,17","25967,28","26152,41","26152,41","+0,4"
"2004-12-23","26196,27","26032,67","26282,72","26048,99","-0,58"
"2004-12-22","26361,46","26039,73","26465,7","26201,46","-0,61"
"2004-12-21","26439,91","26260,06","26439,91","26363,24","-0,43"
"2004-12-20","26248,14","26235,31","26476,65","26476,65","+1,03"
"2004-12-17","26206,15","26046,15","26210,76","26206,21","+0,21"
"2004-12-16","25843,85","25843,85","26152,39","26152,39","+1,21"
"2004-12-15","25695,44","25658,6","25839,42","25839,42","+0,68"
"2004-12-14","25764,58","25596,87","25835,62","25664,91","-0,24"
"2004-12-13","25683,01","25519,67","25814,61","25725,89","+0,28"
"2004-12-10","25723,37","25641,89","25803,42","25653,67","-0,11"
"2004-12-09","25876,74","25603,5","25876,74","25682,69","-0,9"
"2004-12-08","25976,6","25867,4","26047,48","25917,13","-0,58"
"2004-12-07","25896,52","25811,1","26067,84","26067,84","+0,58"
"2004-12-06","25961,33","25803,36","25969,66","25917,79","-0,47"
"2004-12-03","26143,99","25906,18","26143,99","26040,17","-0,26"
"2004-12-02","25764,27","25679,71","26107,21","26107,21","+1,9"
"2004-12-01","25403,46","25306,48","25621,27","25621,27","+0,77"
"Liczba wierszy ograniczona do 50"
