"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2004-06-30","24008,17","23881,56","24010,62","23949,32","-0,21"
"2004-06-29","23856,13","23815,29","24000,81","24000,81","+0,26"
"2004-06-28","23831,87","23802,58","23954,25","23938,12","+0,5"
"2004-06-25","23675,69","23581,35","23818,92","23818,92","+0,78"
"2004-06-24","23740,99","23591,41","23750,69","23635,15","+0,28"
"2004-06-23","23447,13","23447,13","23600,19","23569,8","+0,79"
"2004-06-22","23371,92","23340,02","23460,49","23385,13","-0,22"
"2004-06-21","23113,4","23058,55","23437,69","23437,69","+1,64"
"2004-06-18","22932,96","22932,96","23183,79","23058,88","+0,22"
"2004-06-17","23187,86","22914,41","23222,64","23007,8","-0,84"
"2004-06-16","23322,64","23132,42","23356,18","23203,13","-0,25"
"2004-06-15","23125,47","23053,35","23260,42","23260,42","+0,45"
"2004-06-14","23219,33","23083,75","23278,6","23157,08","-1,34"
"2004-06-11","23323,26","23309,79","23471,19","23471,19","+0,21"
"2004-06-09","23690,25","23370,43","23718,15","23422,03","-1,06"
"2004-06-08","23758,97","23657,73","23813,38","23673,81","+0,02"
"2004-06-07","23669,04","23563,04","23775,53","23669,64","+0,69"
"2004-06-04","23653,39","23472,4","23699,78","23506,95","-0,67"
"2004-06-03","23716,33","23530,24","23716,33","23665,75","-0,31"
"2004-06-02","23575,4","23574,86","23900,17","23738,38","+0,98"
"2004-06-01","23434,69","23356,26","23506,94","23506,94","-0,43"
"Liczba wierszy ograniczona do 50"
