"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2004-08-31","24087,27","24049,53","24297,93","24239,18","+0,44"
"2004-08-30","24102,67","24039,82","24210,69","24132,01","-0,2"
"2004-08-27","23939,44","23939,44","24179,82","24179,82","+0,94"
"2004-08-26","23998,38","23840,86","23998,38","23955,06","-0,03"
"2004-08-25","24195,86","23936,3","24257,71","23961,29","-1,09"
"2004-08-24","23957,01","23900,1","24224,52","24224,52","+1,18"
"2004-08-23","23927,99","23895,12","24009,99","23940,99","+0,1"
"2004-08-20","23759,06","23719,86","23918,62","23917,9","+0,55"
"2004-08-19","23820,33","23731,7","23870,03","23787,9","+0,15"
"2004-08-18","23666,38","23635,47","23777,84","23751,64","+0,54"
"2004-08-17","23370,43","23358,14","23665,94","23623,21","+0,98"
"2004-08-16","23357,93","23331,4","23480,87","23394,2","+0,11"
"2004-08-13","23340,99","23226,29","23430,09","23367,62","+0,18"
"2004-08-12","23232,94","23232,94","23358,65","23324,91","+0,34"
"2004-08-11","23584,45","23187,62","23598,03","23244,96","-1,3"
"2004-08-10","23487,51","23443,86","23638,09","23551,06","+0,2"
"2004-08-09","23604,72","23315,21","23680,78","23503","-0,98"
"2004-08-06","23884,18","23664,16","23899,9","23736,3","-1,02"
"2004-08-05","23911,07","23869,09","24051,37","23981,22","+0,61"
"2004-08-04","23748,33","23717,44","23901,8","23835,26","+0,2"
"2004-08-03","23652,34","23613,78","23814,54","23786,52","+0,63"
"Liczba wierszy ograniczona do 50"
