"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2004-02-27","22853,5","22839,32","23317,86","23317,86","+2,45"
"2004-02-26","22795,05","22699,11","23004,71","22759,79","+0,47"
"2004-02-25","22578,73","22479,63","22694,29","22653,53","+0,3"
"2004-02-24","23006,72","22523,62","23006,72","22586,84","-2,36"
"2004-02-23","23270,51","23071,59","23327,5","23133,04","-0,86"
"2004-02-20","23040,45","23009,75","23333,88","23333,88","+0,63"
"2004-02-19","23373,5","23129,04","23419,83","23187,76","-1,23"
"2004-02-18","23484,14","23410,39","23574,43","23477,31","-0,07"
"2004-02-17","23599,96","23407,81","23622,67","23493,64","+0,19"
"2004-02-16","23211,65","23194,68","23458,2","23448,51","+0,66"
"2004-02-13","23523,07","23191,81","23562,08","23293,96","-0,45"
"2004-02-12","23290,2","23283,4","23432,05","23400,42","+0,61"
"2004-02-11","23307,87","23182,33","23430,31","23259,48","-0,4"
"2004-02-10","23233,79","23044,48","23352,78","23352,78","+1,16"
"2004-02-09","22748,34","22723,95","23085,1","23085,1","+2,54"
"2004-02-06","22278,99","22278,99","22612,81","22512,88","+1,21"
"2004-02-05","22245,63","22205,01","22404,34","22244,16","+0,38"
"2004-02-04","21960,23","21933,81","22225,48","22160,85","+0,44"
"2004-02-03","22283,94","22022,88","22340,71","22063,42","-0,74"
"Liczba wierszy ograniczona do 50"
