"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2004-03-31","23996,58","23706,87","23996,58","23870,12","-0,73"
"2004-03-30","23907,33","23887,8","24073,6","24044,58","+0,76"
"2004-03-29","23670,65","23640,7","24040,81","23863,74","+0,77"
"2004-03-26","23751,66","23656,85","23840,33","23682,14","+0,17"
"2004-03-25","23357,63","23336,45","23661,49","23642,82","+1,24"
"2004-03-24","23457,44","23288,45","23530,99","23353,94","-0,01"
"2004-03-23","23145,76","23119,58","23355,72","23355,72","+1,43"
"2004-03-22","22976,55","22963,95","23150,3","23027,54","-0,27"
"2004-03-19","23311","22924,17","23389,87","23089,18","-0,95"
"2004-03-18","23595,9","23255,65","23647,65","23309,5","-1,52"
"2004-03-17","23649,17","23559,47","23733,43","23668,68","+0,68"
"2004-03-16","23334,46","23227,59","23509,11","23509,11","+1,01"
"2004-03-15","23661,68","23275,18","23661,68","23275,18","-1,7"
"2004-03-12","23384,36","23377,26","23705,83","23677,41","+0,74"
"2004-03-11","23447,29","23290,53","23527,08","23503,91","-1,7"
"2004-03-10","23660,04","23620,03","23951,23","23910,67","+0,33"
"2004-03-09","24082,1","23763,89","24084,3","23832,67","-1,69"
"2004-03-08","23924,89","23924,89","24271,29","24243,21","+1,61"
"2004-03-05","23717,98","23717,98","24037,48","23858,06","+0,76"
"2004-03-04","23755,42","23573,75","23755,42","23677,32","-0,17"
"2004-03-03","23735,35","23604,32","23803,08","23718,78","-0,39"
"2004-03-02","23891,57","23640,93","23907,75","23811,24","-0,14"
"Liczba wierszy ograniczona do 50"
