"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2005-07-29","30271,93","30271,93","30488,4","30448,31","+0,69"
"2005-07-28","29903,1","29903,1","30239,88","30239,88","+1,24"
"2005-07-27","29723,47","29556,95","29899,2","29870,06","+0,91"
"2005-07-26","29455,21","29415,17","29671,59","29601,54","+0,76"
"2005-07-25","29245,77","29178,11","29430,01","29377,4","+0,73"
"2005-07-22","29368,35","29007,58","29406,43","29165,53","-0,67"
"2005-07-21","29625,67","29363,12","29634,05","29363,12","-0,47"
"2005-07-20","29434,38","29408,68","29663,35","29501,51","+0,58"
"2005-07-19","29257,13","29150,25","29347,08","29332,47","+0,32"
"2005-07-18","29412,71","29238,99","29561,76","29238,99","-0,65"
"2005-07-15","29461,36","29391,9","29544,72","29430,52","-0,29"
"2005-07-14","29525,7","29413,47","29567,74","29516,37","+0,12"
"2005-07-13","29240,67","29200,63","29531,87","29480,61","+0,79"
"2005-07-12","28941,44","28851,67","29248,18","29248,18","+1,13"
"2005-07-11","29067,44","28824,21","29132,67","28922","-0,01"
"2005-07-08","28655,42","28655,42","28925,62","28925,62","+1,26"
"2005-07-07","28796,92","28159,43","28812,76","28564,5","-1,19"
"2005-07-06","28760,89","28750,94","28921,74","28908,94","+0,56"
"2005-07-05","28896,11","28654,84","29037,66","28748,36","-0,47"
"2005-07-04","28680,64","28675,45","28891,18","28884,29","+0,92"
"2005-07-01","28308,71","28278,55","28620,07","28620,07","+1,02"
"Liczba wierszy ograniczona do 50"
