"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2005-12-30","35881,36","35511,44","35881,36","35600,79","-1,06"
"2005-12-29","35922,19","35821,06","36018,96","35983,24","+0,36"
"2005-12-28","36082,18","35766,66","36082,18","35854,93","-0,59"
"2005-12-27","35672,46","35665,67","36068,56","36068,56","+0,95"
"2005-12-23","35481,22","35458,38","35733,8","35730,36","+0,64"
"2005-12-22","35571,66","35390,3","35618,77","35502,94","-0,1"
"2005-12-21","35428,37","35384,74","35550,62","35537,63","+0,55"
"2005-12-20","34911,01","34887,15","35428,86","35343,41","+1,15"
"2005-12-19","34917,6","34822,14","35013,55","34942,1","+0,35"
"2005-12-16","34740,36","34586,96","34914,59","34821,8","+0,3"
"2005-12-15","34826,51","34702,65","35005,81","34716,76","-0,25"
"2005-12-14","34474,25","34425,79","34833,17","34803,12","+1,07"
"2005-12-13","34524,41","34426,23","34617,71","34434,25","-0,18"
"2005-12-12","34392,81","34333,9","34550,2","34497,14","+0,48"
"2005-12-09","34478,57","34150,41","34489,65","34333,89","-0,33"
"2005-12-08","34368,22","34362,83","34482,04","34447,54","-0,1"
"2005-12-07","34213,73","34148,98","34481,24","34481,24","+0,98"
"2005-12-06","34360,06","33999,7","34364,86","34147,53","-0,65"
"2005-12-05","34503,59","34287,86","34635,74","34370,99","-0,32"
"2005-12-02","34391,88","34080,41","34480,66","34480,66","+1,08"
"2005-12-01","34012,14","33960,81","34167,02","34111,29","+0,55"
"Liczba wierszy ograniczona do 50"
