"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2005-08-31","31559,68","31268,13","31631,4","31364,29","+0,01"
"2005-08-30","31148,63","31148,63","31391,97","31362,39","+0,87"
"2005-08-29","30895,95","30871,67","31090,63","31090,63","+0,56"
"2005-08-26","30623,37","30623,37","30968,31","30917,73","+0,99"
"2005-08-25","30598,01","30496,12","30711,78","30614,97","-0,27"
"2005-08-24","30683,25","30656,94","30863,36","30697,39","-0,03"
"2005-08-23","30695,96","30477,64","30707,94","30707,94","+0,03"
"2005-08-22","30563,49","30553,42","30741,54","30698,11","+0,49"
"2005-08-19","30553,49","30414,63","30582,79","30548,51","-0,05"
"2005-08-18","30788,12","30442,59","30839,39","30562,59","-1,06"
"2005-08-17","30986,35","30777,05","31015,04","30890,68","-0,38"
"2005-08-16","30895,07","30837","31045,37","31008,13","+0,89"
"2005-08-12","30717,4","30633,49","30850,21","30736,04","-0,75"
"2005-08-11","31034,85","30874,45","31180,76","30968,19","-0,28"
"2005-08-10","31338,81","30941,55","31467,68","31055,32","-0,85"
"2005-08-09","31367,4","31141,72","31449,25","31320,17","+0,02"
"2005-08-08","30956,12","30945,02","31368,59","31314,81","+1,32"
"2005-08-05","30872","30818,97","31049,31","30907,2","+0,09"
"2005-08-04","30650,93","30518,04","30914,78","30880,87","+0,22"
"2005-08-03","31091,43","30740,21","31129,74","30813,37","-1,21"
"2005-08-02","30790,41","30790,41","31222,63","31189,89","+1,71"
"Liczba wierszy ograniczona do 50"
