"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2005-04-29","25809,66","25737,93","25933","25813,59","+0,34"
"2005-04-28","25868,02","25677,1","25948,63","25726,44","-0,82"
"2005-04-27","26248,69","25804,9","26248,69","25939,43","-1,41"
"2005-04-26","26554,17","26266,2","26554,47","26311,65","-0,95"
"2005-04-25","26539,89","26502,29","26667,99","26565,22","+0,12"
"2005-04-22","26485,13","26483,36","26603,41","26534,04","+0,73"
"2005-04-21","26113,29","26113,29","26342,65","26342,65","+1"
"2005-04-20","26381,69","26082,65","26450,37","26082,65","-0,98"
"2005-04-19","26356,21","26221,07","26398,46","26340,77","-0,02"
"2005-04-18","26498,2","26208,46","26520,88","26345,42","-1,94"
"2005-04-15","26870,54","26733,56","26904,7","26865,92","-0,67"
"2005-04-14","27146,01","26958,58","27204,1","27047,14","-0,97"
"2005-04-13","27382,1","27267,48","27500,75","27311,18","-0,05"
"2005-04-12","27350,8","27256,54","27388,56","27325,74","-0,12"
"2005-04-11","27182,94","27126,89","27358,29","27358,29","+0,08"
"2005-04-07","27596,99","27260,18","27636,75","27335,08","-0,9"
"2005-04-06","27395,3","27349,65","27582,96","27582,96","+0,6"
"2005-04-05","27200,38","27147,76","27479,74","27419,37","+0,89"
"2005-04-04","27267,06","27032,3","27388,94","27178,62","-0,07"
"2005-04-01","27356,77","27197,35","27542,33","27197,35","-0,26"
"Liczba wierszy ograniczona do 50"
