"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2005-03-31","27187,4","27061,79","27371,37","27268,07","+0,9"
"2005-03-30","26905,31","26843,87","27079,58","27023,61","+0,45"
"2005-03-29","26912,73","26691,65","26912,73","26901,25","-0,03"
"2005-03-24","26945,08","26860,1","27032,61","26908,71","+0,4"
"2005-03-23","26529,6","26482,25","26844,36","26801,99","-0,14"
"2005-03-22","26456,51","26439,79","26840,65","26840,65","+1,62"
"2005-03-21","26904,48","26401,13","26967,94","26411,82","-1,63"
"2005-03-18","26786,8","26786,8","26929,04","26850","+0,85"
"2005-03-17","26718,75","26597,41","26863,67","26623,79","-0,69"
"2005-03-16","27122,49","26647,76","27131,84","26807,67","-1,97"
"2005-03-15","27352,09","27282,74","27466,18","27347,46","+0,17"
"2005-03-14","27562,76","27226,2","27577,03","27301,23","-1,13"
"2005-03-11","27959,64","27563,25","27965,64","27613,97","-1,35"
"2005-03-10","28161,38","27847,36","28161,38","27992,72","-0,8"
"2005-03-09","27948,85","27939,78","28336,98","28218,78","+1,14"
"2005-03-08","27930,93","27808,07","28087,26","27901,05","-0,38"
"2005-03-07","27992,68","27803,98","28239,52","28007,8","+0,6"
"2005-03-04","27729,77","27584,74","27857,43","27841,23","+0,95"
"2005-03-03","27409,74","27409,74","27660,29","27580,53","+0,53"
"2005-03-02","27894,55","27434,67","28013,88","27434,67","-2,81"
"2005-03-01","28145,07","27860,09","28291,28","28227,26","-0,24"
"Liczba wierszy ograniczona do 50"
