"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2005-05-31","26697,26","26647,28","26787,4","26744,36","-0"
"2005-05-30","26750,27","26654,83","26832,3","26744,52","+0,12"
"2005-05-27","26407,32","26407,32","26712,73","26712,73","+1,65"
"2005-05-25","26227,47","26209,31","26325,88","26279,48","+0,24"
"2005-05-24","26311,66","26072,31","26311,66","26216,36","-0,33"
"2005-05-23","26320,22","26195,17","26324,02","26303,65","-0,08"
"2005-05-20","26166,12","26156,33","26396,49","26324","+0,52"
"2005-05-19","26215,01","26112,95","26263,37","26187,95","+0,36"
"2005-05-18","25807,66","25771,9","26092,87","26092,87","+1,46"
"2005-05-17","25647,53","25466,48","25718,46","25718,46","+0,4"
"2005-05-16","25662,11","25514,25","25678","25617,02","-0,18"
"2005-05-13","25743,87","25626,42","25838,61","25662,59","-0,68"
"2005-05-12","25841,65","25772,2","25976,54","25839,03","+0,4"
"2005-05-11","25530,6","25530,35","25814,82","25736,82","+0,44"
"2005-05-10","26025,53","25570,39","26025,53","25624,19","-1,45"
"2005-05-09","25988,95","25855,53","26048,5","26000,59","+0,09"
"2005-05-06","26062,43","25779,9","26088,35","25977,64","+0,01"
"2005-05-05","26026,81","25891,21","26185,54","25975,86","+0,46"
"2005-05-04","25995,44","25795,01","26098,14","25856,91","-0,12"
"Liczba wierszy ograniczona do 50"
