"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2005-10-31","31937,43","31911,03","32252,28","32024,41","+0,93"
"2005-10-28","31346,61","31214,57","31757,1","31728,5","+0,57"
"2005-10-27","31444,03","31336,16","31593,74","31549,78","-1,37"
"2005-10-26","32297,12","31617,69","32384,85","31986,97","-0,5"
"2005-10-25","32033,48","31920,27","32197,78","32146,66","+0,87"
"2005-10-24","31711,02","31711,02","32023,28","31870,61","+0,45"
"2005-10-21","31682,18","31559,98","31847,03","31727,44","-0,11"
"2005-10-20","31694,92","31558,19","31784,33","31761,22","+1,56"
"2005-10-19","31439,86","31109,79","31449,45","31271,9","-1,97"
"2005-10-18","32122,14","31741,96","32208,07","31899,11","+0,18"
"2005-10-17","31822,32","31822,32","32079,34","31842,32","+0,77"
"2005-10-14","31633,55","31330,75","31812,06","31599,89","-0,61"
"2005-10-13","32769,05","31759,06","32769,05","31792,59","-3,34"
"2005-10-12","33135,4","32815,68","33137,17","32891,81","-0,79"
"2005-10-11","32839,27","32839,27","33153,45","33153,19","+1,36"
"2005-10-10","32823,43","32679,72","33074,8","32709,1","+0,03"
"2005-10-07","32532,21","32349,72","32739,9","32700,71","0"
"2005-10-06","33233,05","32554,31","33233,05","32700,55","-2,99"
"2005-10-05","33885,6","33675,46","33949,09","33708,53","-1,38"
"2005-10-04","34357,89","34132,93","34359,98","34179,37","-0,3"
"2005-10-03","33898,06","33598,56","34281,24","34281,24","+1,42"
"Liczba wierszy ograniczona do 50"
