"Dane pochodz¹ z serwisu Money.pl http://www.money.pl"
"Data","Otw","Min","Max","Zamkn","Zmn.[%]"
"2005-02-28","28644,48","28171,77","28681,53","28294,49","-0,88"
"2005-02-25","28397,6","28287,4","28555,94","28547,1","+1,69"
"2005-02-24","27905,41","27867,57","28088,53","28073,17","+1,01"
"2005-02-23","27644,44","27574,84","27801,07","27793,65","-0,29"
"2005-02-22","28096,55","27719,61","28159,19","27873,45","-0,52"
"2005-02-21","27669,84","27659,4","28087,68","28019,21","+0,96"
"2005-02-18","27706","27649,33","28124,42","27752,76","-0,17"
"2005-02-17","27644,66","27644,66","27905,79","27800,77","+1,09"
"2005-02-16","27001,99","27001,99","27572,84","27500,69","+1,99"
"2005-02-15","26800,51","26782,55","26970,46","26964,64","+0,58"
"2005-02-14","26859,6","26809,34","27009,02","26809,34","-0,01"
"2005-02-11","26920,5","26812,09","26953,71","26812,09","-0,24"
"2005-02-10","26691,96","26620,14","27026,88","26877,29","+0,59"
"2005-02-09","26757,32","26610,61","26849,74","26719,79","-0,49"
"2005-02-08","26902,87","26765,9","26952,11","26851,06","-0,31"
"2005-02-07","26765","26676,48","26934,29","26934,29","+1,11"
"2005-02-04","26299,64","26294,18","26638,88","26638,88","+1,35"
"2005-02-03","26238,77","26200,08","26397,91","26282,9","+0,2"
"2005-02-02","26320,45","26214,11","26350,42","26231,06","-0,25"
"2005-02-01","25988","25978,94","26313,54","26297,25","+1,17"
"Liczba wierszy ograniczona do 50"
